generation,objective,operator,anc_prefix_k,fht_50,fht_10,lcc_at_k_frac,k,time_total,time_select,time_anc,unique_id,file
1,0.28976,m1,0.8554035875875876,283.4,539.8,0.8480000000000001,150,36.70918369293213,34.661125898361206,1.3079912662506104,4000b0d8b798cb06f2e82e6092fc7565,population_generation_1.json
2,0.28976,m1,0.8554035875875876,283.4,539.8,0.8480000000000001,150,36.70918369293213,34.661125898361206,1.3079912662506104,4000b0d8b798cb06f2e82e6092fc7565,population_generation_2.json
3,0.28887,m2,0.8530315275275274,282.4,540.6,0.8462,150,6.668080806732178,4.778656005859375,1.2725696563720703,4721de5b55416795021034efeb94fe08,population_generation_3.json
4,0.28887,m2,0.8530315275275274,282.4,540.6,0.8462,150,6.668080806732178,4.778656005859375,1.2725696563720703,4721de5b55416795021034efeb94fe08,population_generation_4.json
5,0.28887,m2,0.8530315275275274,282.4,540.6,0.8462,150,6.668080806732178,4.778656005859375,1.2725696563720703,4721de5b55416795021034efeb94fe08,population_generation_5.json
6,0.28571,e2,0.8500194034034034,276.0,542.4,0.8433999999999999,150,7.76268744468689,5.886294841766357,1.2590038776397705,542f50dc4d915d126e0f4bd526ad4e56,population_generation_6.json
7,0.28571,e2,0.8500194034034034,276.0,542.4,0.8433999999999999,150,7.76268744468689,5.886294841766357,1.2590038776397705,542f50dc4d915d126e0f4bd526ad4e56,population_generation_7.json
8,0.28449,e2,0.8496509923256589,277.0,537.2,0.8442000000000001,150,6.080748558044434,4.201240062713623,1.2587683200836182,fcfdd149ddfd8e0954a5547743fd76a4,population_generation_8.json
9,0.28449,e2,0.8496509923256589,277.0,537.2,0.8442000000000001,150,6.080748558044434,4.201240062713623,1.2587683200836182,fcfdd149ddfd8e0954a5547743fd76a4,population_generation_9.json
10,0.28449,e2,0.8496509923256589,277.0,537.2,0.8442000000000001,150,6.080748558044434,4.201240062713623,1.2587683200836182,fcfdd149ddfd8e0954a5547743fd76a4,population_generation_10.json
11,0.28449,e2,0.8496509923256589,277.0,537.2,0.8442000000000001,150,6.080748558044434,4.201240062713623,1.2587683200836182,fcfdd149ddfd8e0954a5547743fd76a4,population_generation_11.json
12,0.28449,e2,0.8496509923256589,277.0,537.2,0.8442000000000001,150,6.080748558044434,4.201240062713623,1.2587683200836182,fcfdd149ddfd8e0954a5547743fd76a4,population_generation_12.json
13,0.28449,e2,0.8496509923256589,277.0,537.2,0.8442000000000001,150,6.080748558044434,4.201240062713623,1.2587683200836182,fcfdd149ddfd8e0954a5547743fd76a4,population_generation_13.json
14,0.28449,e2,0.8496509923256589,277.0,537.2,0.8442000000000001,150,6.080748558044434,4.201240062713623,1.2587683200836182,fcfdd149ddfd8e0954a5547743fd76a4,population_generation_14.json
15,0.28449,e2,0.8496509923256589,277.0,537.2,0.8442000000000001,150,6.080748558044434,4.201240062713623,1.2587683200836182,fcfdd149ddfd8e0954a5547743fd76a4,population_generation_15.json
16,0.28449,e2,0.8496509923256589,277.0,537.2,0.8442000000000001,150,6.080748558044434,4.201240062713623,1.2587683200836182,fcfdd149ddfd8e0954a5547743fd76a4,population_generation_16.json
17,0.28442,e2,0.849855052385719,276.2,534.8,0.8442000000000001,150,6.39120078086853,4.5137879848480225,1.2532660961151123,82172df6973f7b4a8ba184f337159e95,population_generation_17.json
18,0.28442,e2,0.849855052385719,276.2,534.8,0.8442000000000001,150,6.39120078086853,4.5137879848480225,1.2532660961151123,82172df6973f7b4a8ba184f337159e95,population_generation_18.json
19,0.28243,e2,0.8558862622622622,286.0,507.0,0.849,150,59.27008295059204,57.13026189804077,1.418492317199707,06b5891445b5a3d32e545e4804bfce18,population_generation_19.json
20,0.28243,e2,0.8558862622622622,286.0,507.0,0.849,150,59.27008295059204,57.13026189804077,1.418492317199707,06b5891445b5a3d32e545e4804bfce18,population_generation_20.json
21,0.28243,e2,0.8558862622622622,286.0,507.0,0.849,150,59.27008295059204,57.13026189804077,1.418492317199707,06b5891445b5a3d32e545e4804bfce18,population_generation_21.json
22,0.28243,e2,0.8558862622622622,286.0,507.0,0.849,150,59.27008295059204,57.13026189804077,1.418492317199707,06b5891445b5a3d32e545e4804bfce18,population_generation_22.json
23,0.27586,e1,0.8558971424758092,282.0,483.0,0.8488,150,11.15275502204895,8.961032390594482,1.442150354385376,4b15ae09f0f49c3093e5957219ac3a40,population_generation_23.json
24,0.26837,m2,0.8558230790790791,281.6,458.0,0.8484,150,10.24198317527771,8.074230194091797,1.436596155166626,755156a22a340fe77eb39fc849b008d3,population_generation_24.json
25,0.26793,m1,0.856022937604271,281.4,454.4,0.8486,150,8.836708307266235,6.61974573135376,1.4696359634399414,1892a92672548047508b41e77d70484e,population_generation_25.json
26,0.26793,m1,0.856022937604271,281.4,454.4,0.8486,150,8.836708307266235,6.61974573135376,1.4696359634399414,1892a92672548047508b41e77d70484e,population_generation_26.json
27,0.26785,e2,0.8559012452452454,282.2,451.6,0.8488,150,8.763290643692017,6.720334529876709,1.3730084896087646,5abb021c86e87ff5445eaf2d17e5ba2a,population_generation_27.json
28,0.26785,e2,0.8559012452452454,282.2,451.6,0.8488,150,8.763290643692017,6.720334529876709,1.3730084896087646,5abb021c86e87ff5445eaf2d17e5ba2a,population_generation_28.json
29,0.26758,e2,0.8559599652986319,281.6,452.8,0.8484,150,10.084284543991089,7.9973366260528564,1.4001233577728271,2cfb8559af2953e6e7ea9aafef0cd17c,population_generation_29.json
30,0.26758,e2,0.8559599652986319,281.6,452.8,0.8484,150,10.084284543991089,7.9973366260528564,1.4001233577728271,2cfb8559af2953e6e7ea9aafef0cd17c,population_generation_30.json
